SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,DMDEDUC3,INDFMPIR,SDMVPSU,SDMVSTRA,SDDSRVYR
31127,1,0,3,NA,NA,0.75,2,44,4
31128,2,11,4,NA,4,0.77,1,52,4
31129,1,15,4,NA,10,2.71,1,51,4
31130,2,85,3,4,NA,1.99,2,46,4
31131,2,44,4,4,NA,4.65,1,48,4
31132,1,70,3,5,NA,5,2,52,4
31133,2,16,4,NA,9,5,1,51,4
31134,1,73,3,3,NA,NA,2,48,4
31135,1,0,5,NA,NA,5,2,52,4
31136,2,41,4,4,NA,3.57,2,51,4
31137,2,14,4,NA,6,0.1,2,51,4
31138,1,3,1,NA,NA,2.13,2,57,4
31139,2,18,2,NA,13,4.91,1,44,4
31140,2,11,3,NA,4,5,1,50,4
31141,1,16,1,NA,10,5,2,48,4
31142,1,7,1,NA,1,0.51,2,54,4
31143,1,19,3,NA,15,5,1,44,4
31144,1,21,2,3,NA,0.46,1,45,4
31145,2,10,3,NA,3,3.32,1,44,4
31146,2,8,3,NA,1,2.63,1,44,4
31147,2,7,4,NA,0,0.78,1,44,4
31148,2,16,3,NA,9,1.06,1,50,4
31149,2,85,3,2,NA,0.05,2,52,4
31150,1,79,3,3,NA,1.22,2,44,4
31151,2,59,4,3,NA,3.03,2,53,4
31152,2,27,1,3,NA,1.76,1,57,4
31153,2,44,5,3,NA,1.03,2,54,4
31154,1,62,4,3,NA,1.56,1,45,4
31155,1,38,5,5,NA,3.5,2,48,4
31156,2,43,4,4,NA,1.19,2,51,4
31157,2,11,1,NA,5,0.99,1,55,4
31158,1,71,3,4,NA,3.71,2,50,4
31159,1,9,4,NA,2,0.63,1,44,4
31160,2,39,3,2,NA,1.91,1,46,4
31161,2,10,3,NA,4,2.9,1,49,4
31162,2,71,3,3,NA,2.5,2,47,4
31163,1,17,4,NA,11,2.23,1,56,4
31164,1,54,3,4,NA,5,1,53,4
31165,1,1,1,NA,NA,2.8,1,54,4
31166,1,15,3,NA,9,0.75,1,55,4
31167,1,37,3,4,NA,4.16,1,44,4
31168,1,0,3,NA,NA,NA,2,46,4
31169,2,3,4,NA,NA,2.05,1,49,4
31170,1,14,5,NA,7,3,2,46,4
31171,2,12,4,NA,6,1.31,1,51,4
31172,2,20,3,2,NA,0.7,2,51,4
31173,1,6,1,NA,1,0.72,2,49,4
31174,2,6,1,NA,1,1.05,2,57,4
31175,1,75,4,1,NA,3.92,2,45,4
31176,2,3,3,NA,NA,0.41,1,50,4
31177,2,18,4,NA,12,1.12,2,49,4
31178,2,14,1,NA,8,4.07,1,57,4
31179,1,71,3,3,NA,0.44,1,54,4
31180,2,12,3,NA,6,1.33,1,48,4
31181,1,16,4,NA,11,2.41,2,45,4
31182,2,2,1,NA,NA,0.66,1,57,4
31183,2,33,3,5,NA,3.9,1,47,4
31184,1,0,3,NA,NA,0.41,1,50,4
31185,1,1,3,NA,NA,0.25,1,46,4
31186,2,46,1,1,NA,1.68,1,54,4
31187,2,22,3,4,NA,4.29,2,54,4
31188,2,5,4,NA,NA,0.49,2,45,4
31189,2,9,5,NA,2,2.58,1,56,4
31190,1,72,3,4,NA,NA,2,44,4
31191,2,22,1,2,NA,0.88,1,56,4
31192,2,60,3,4,NA,4.49,1,44,4
31193,1,51,3,1,NA,1.01,1,49,4
31194,2,47,1,1,NA,1.02,2,53,4
31195,1,73,3,4,NA,5,2,48,4
31196,2,12,4,NA,6,1.86,1,51,4
31197,1,0,1,NA,NA,0.74,1,48,4
31198,1,0,3,NA,NA,1.71,2,50,4
31199,2,25,3,4,NA,1,1,46,4
31200,2,1,3,NA,NA,5,1,55,4
31201,1,17,4,NA,13,0.15,2,52,4
31202,1,1,3,NA,NA,1.51,2,46,4
31203,2,33,1,2,NA,0.99,2,57,4
31204,2,15,3,NA,9,1.14,2,45,4
31205,2,43,1,4,NA,5,1,57,4
31206,2,17,5,NA,11,1.03,2,54,4
31207,2,20,4,4,NA,0.1,1,49,4
31208,2,47,3,5,NA,5,1,55,4
31209,2,2,1,NA,NA,0.42,2,47,4
31210,1,33,3,3,NA,1.04,1,57,4
31211,2,17,3,NA,11,5,2,47,4
31212,2,23,4,2,NA,0.48,2,57,4
31213,2,53,4,2,NA,1.05,1,52,4
31214,2,46,3,4,NA,0.77,1,48,4
31215,2,12,1,NA,6,1.92,2,49,4
31216,1,0,4,NA,NA,3.1,1,49,4
31217,2,1,4,NA,NA,0.67,1,44,4
31218,2,14,4,NA,8,1.81,2,58,4
31219,1,9,4,NA,3,2.14,2,50,4
31220,1,50,3,3,NA,5,1,50,4
31221,2,54,3,3,NA,5,2,49,4
31222,1,4,1,NA,NA,0.82,2,45,4
31223,1,61,1,2,NA,1.68,2,58,4
31224,1,9,5,NA,3,5,2,55,4
31225,2,14,3,NA,8,2.49,1,57,4
31226,2,17,2,NA,66,NA,1,52,4
31227,1,64,3,5,NA,5,2,48,4
31228,1,34,1,2,NA,1.68,1,54,4
31229,1,4,1,NA,NA,NA,2,53,4
31230,2,10,1,NA,3,0.55,2,56,4
31231,2,30,3,5,NA,4.55,2,57,4
31232,2,56,4,3,NA,1.17,1,47,4
31233,1,83,3,2,NA,2.61,2,47,4
31234,2,0,4,NA,NA,1.09,1,48,4
31235,1,19,4,NA,13,0.37,2,49,4
31236,2,5,1,NA,NA,3.36,1,57,4
31237,1,12,2,NA,5,4.25,2,52,4
31238,2,9,4,NA,3,0,1,51,4
31239,1,18,3,NA,13,5,1,45,4
31240,2,34,3,5,NA,5,2,48,4
31241,1,40,2,2,NA,2.73,1,51,4
31242,1,58,3,5,NA,5,2,52,4
31243,1,80,3,5,NA,5,2,52,4
31244,1,23,3,5,NA,2.16,2,48,4
31245,2,18,1,NA,15,3,2,58,4
31246,1,17,3,NA,10,1.49,1,46,4
31247,1,7,4,NA,1,0.1,2,51,4
31248,1,21,1,1,NA,0.65,2,51,4
31249,2,18,1,NA,13,0.51,2,57,4
31250,2,10,4,NA,4,0.88,1,50,4
31251,2,3,4,NA,NA,0.62,1,52,4
31252,1,35,4,4,NA,3.62,1,52,4
31253,1,26,3,4,NA,0.84,1,46,4
31254,1,30,1,1,NA,0,1,57,4
31255,2,34,1,2,NA,1.86,1,56,4
31256,1,3,1,NA,NA,1.58,1,56,4
31257,1,70,3,4,NA,1.21,2,50,4
31258,1,20,2,2,NA,1.43,2,49,4
31259,2,35,4,4,NA,1.93,1,55,4
31260,2,5,3,NA,NA,0.76,2,46,4
31261,2,49,4,4,NA,3.48,1,46,4
31262,1,52,1,1,NA,2.43,2,55,4
31263,2,78,4,1,NA,1.74,2,49,4
31264,1,17,5,NA,11,3.1,1,46,4
31265,1,19,4,NA,11,0.16,1,44,4
31266,1,62,3,3,NA,2.04,2,50,4
31267,2,14,3,NA,7,3.92,2,47,4
31268,2,40,3,3,NA,0.38,2,49,4
31269,2,15,1,NA,9,2.99,2,53,4
31270,2,8,2,NA,2,0.37,1,58,4
31271,1,14,2,NA,7,1.5,2,45,4
31272,1,11,4,NA,5,0,2,49,4
31273,1,62,3,2,NA,3.9,1,48,4
31274,1,56,3,3,NA,1.88,1,53,4
31275,2,13,4,NA,8,3.3,2,48,4
31276,1,36,4,5,NA,5,1,49,4
31277,2,61,3,5,NA,5,2,47,4
31278,1,65,1,1,NA,4.17,2,54,4
31279,2,76,3,2,NA,1.17,1,55,4
31280,2,60,3,3,NA,2.3,1,44,4
31281,2,2,1,NA,NA,0.81,1,55,4
31282,2,16,1,NA,10,5,2,48,4
31283,2,0,1,NA,NA,0.77,1,56,4
31284,1,80,3,5,NA,5,2,44,4
31285,2,57,3,5,NA,3.57,2,49,4
31286,1,27,1,4,NA,0.9,2,49,4
31287,1,2,1,NA,NA,2.89,1,54,4
31288,1,19,4,NA,15,0.66,1,49,4
31289,2,16,1,NA,10,1.55,1,57,4
31290,1,41,1,1,NA,0.82,2,45,4
31291,1,52,4,4,NA,4.29,1,52,4
31292,2,15,4,NA,8,1.86,1,44,4
31293,1,15,1,NA,9,1.61,1,58,4
31294,2,73,3,4,NA,3.12,1,48,4
31295,1,11,4,NA,5,0.56,2,52,4
31296,2,4,3,NA,NA,0.96,2,46,4
31297,2,85,3,3,NA,5,1,46,4
31298,2,33,1,4,NA,2.83,1,57,4
31299,1,9,5,NA,3,2.08,1,49,4
31300,2,18,1,NA,11,0.85,2,45,4
31301,1,66,1,2,NA,2.07,1,57,4
31302,2,24,3,4,NA,2.4,1,46,4
31303,2,33,2,1,NA,1.71,2,49,4
31304,1,53,1,1,NA,NA,2,57,4
31305,1,17,1,NA,11,2.78,2,55,4
31306,1,0,4,NA,NA,3.21,2,45,4
31307,2,77,3,3,NA,4.17,2,49,4
31308,1,59,4,4,NA,3.66,1,51,4
31309,1,60,1,1,NA,0.75,1,48,4
31310,2,15,3,NA,9,5,2,51,4
31311,1,71,3,3,NA,1.52,2,44,4
31312,1,10,1,NA,5,1.39,1,55,4
31313,2,12,4,NA,6,0.03,1,54,4
31314,1,28,1,4,NA,5,1,55,4
31315,1,3,1,NA,NA,0.7,2,55,4
31316,2,10,4,NA,3,3.48,1,51,4
31317,1,24,4,4,NA,0.21,1,49,4
31318,1,7,4,NA,0,1.01,1,49,4
31319,1,8,4,NA,2,1.9,1,56,4
31320,1,13,4,NA,6,1.2,2,45,4
31321,2,25,1,4,NA,2.03,1,54,4
31322,1,4,1,NA,NA,1.37,1,55,4
31323,1,83,3,1,NA,NA,1,54,4
31324,2,47,4,4,NA,3.9,1,47,4
31325,1,27,3,2,NA,1.63,2,44,4
31326,2,3,1,NA,NA,0.48,2,49,4
31327,1,1,5,NA,NA,3.73,2,52,4
31328,1,7,1,NA,1,NA,2,58,4
31329,1,10,3,NA,5,5,1,45,4
31330,1,19,1,NA,15,0.68,2,56,4
31331,1,16,4,NA,9,1.69,2,50,4
31332,1,68,4,2,NA,2.49,1,51,4
31333,2,29,1,4,NA,3.12,1,56,4
31334,2,55,4,5,NA,0.31,1,56,4
31335,1,0,5,NA,NA,4.82,2,52,4
31336,2,23,3,3,NA,1.51,1,46,4
31337,1,54,3,4,NA,5,2,44,4
31338,2,2,1,NA,NA,0.56,2,56,4
31339,2,85,5,2,NA,4.46,2,54,4
31340,1,0,3,NA,NA,4.25,2,48,4
31341,2,16,4,NA,10,2.33,1,47,4
31342,1,11,4,NA,5,4.04,2,58,4
31343,2,61,3,4,NA,5,2,52,4
31344,2,55,3,5,NA,5,2,52,4
31345,2,67,3,2,NA,2.5,1,46,4
31346,1,7,3,NA,1,1.16,2,44,4
31347,2,16,3,NA,10,3.1,1,46,4
31348,1,62,4,2,NA,5,1,49,4
31349,2,13,4,NA,6,3,2,51,4
31350,2,27,3,3,NA,1.9,2,50,4
31351,1,6,4,NA,0,3.48,1,51,4
31352,2,15,4,NA,9,NA,2,49,4
31353,1,53,3,3,NA,1.49,2,44,4
31354,1,9,3,NA,3,4.25,2,44,4
31355,1,8,5,NA,2,2.99,2,55,4
31356,2,0,3,NA,NA,1.37,2,46,4
31357,2,85,3,2,NA,4.56,1,45,4
31358,2,62,4,4,NA,0.72,2,51,4
31359,2,3,1,NA,NA,1.2,2,49,4
31360,2,13,1,NA,7,5,1,55,4
31361,2,30,3,4,NA,1.19,1,49,4
31362,1,14,1,NA,7,1.28,2,57,4
31363,1,28,4,2,NA,1.86,1,48,4
31364,1,15,1,NA,8,5,1,57,4
31365,1,16,4,NA,10,3.21,2,51,4
31366,1,0,1,NA,NA,NA,2,58,4
31367,2,85,3,3,NA,2.2,2,53,4
31368,2,69,3,3,NA,NA,1,51,4
31369,2,0,4,NA,NA,2.5,2,52,4
31370,2,19,1,NA,15,0.9,1,58,4
31371,1,16,4,NA,11,3.73,2,45,4
31372,2,48,4,4,NA,3.66,1,50,4
31373,1,16,1,NA,10,3.9,1,48,4
31374,2,4,3,NA,NA,0.23,1,49,4
31375,1,9,2,NA,3,4.25,2,52,4
31376,1,8,1,NA,2,3.5,1,58,4
31377,2,4,3,NA,NA,0.6,2,46,4
31378,2,19,1,NA,12,2.51,1,58,4
31379,2,79,4,2,NA,0.75,1,50,4
31380,1,69,4,2,NA,2.02,1,49,4
31381,2,34,5,2,NA,2.41,2,44,4
31382,1,61,4,4,NA,5,2,57,4
31383,2,27,3,3,NA,4.22,2,54,4
31384,2,11,3,NA,5,1.5,2,44,4
31385,1,7,5,NA,1,4.74,1,45,4
31386,2,45,3,2,NA,1.81,2,50,4
31387,2,40,4,3,NA,0.48,1,50,4
31388,2,60,3,3,NA,2.4,1,45,4
31389,1,10,3,NA,3,4.1,2,52,4
31390,2,2,2,NA,NA,4.25,1,58,4
31391,1,49,4,2,NA,1.02,2,50,4
31392,1,61,1,3,NA,1.75,2,57,4
31393,1,70,4,1,NA,0.7,2,55,4
31394,2,19,4,NA,13,0.51,2,47,4
31395,1,17,1,NA,11,0.43,2,49,4
31396,2,55,1,4,NA,3.51,1,44,4
31397,1,13,1,NA,7,1.58,1,54,4
31398,1,12,4,NA,4,0.15,2,45,4
31399,1,59,3,4,NA,3.67,2,46,4
31400,2,78,3,4,NA,NA,1,56,4
31401,1,2,3,NA,NA,4,2,47,4
31402,2,11,4,NA,4,1.01,1,49,4
31403,2,21,4,4,NA,2.79,1,48,4
31404,1,2,1,NA,NA,4.13,1,58,4
31405,1,3,1,NA,NA,0.81,1,54,4
31406,2,20,2,2,NA,0.36,1,45,4
31407,2,64,4,5,NA,4.13,1,51,4
31408,2,1,5,NA,NA,1,2,46,4
31409,1,7,4,NA,0,4.42,1,50,4
31410,1,42,3,5,NA,3.54,1,50,4
31411,1,4,1,NA,NA,3.61,2,58,4
31412,1,2,1,NA,NA,1.19,1,49,4
31413,1,34,2,3,NA,1.9,2,44,4
31414,1,2,1,NA,NA,0.63,2,55,4
31415,2,23,1,1,NA,0.85,1,57,4
31416,2,52,3,5,NA,NA,1,46,4
31417,2,12,2,NA,5,0.8,1,51,4
31418,2,11,1,NA,4,1.07,2,53,4
31419,2,0,3,NA,NA,0.8,1,46,4
31420,1,29,1,1,NA,1.24,1,50,4
31421,2,3,1,NA,NA,0.93,1,57,4
31422,2,4,4,NA,NA,5,2,53,4
31423,1,12,1,NA,6,0.84,2,55,4
31424,2,3,4,NA,NA,0.21,1,45,4
31425,2,63,3,4,NA,4.73,2,46,4
31426,2,16,5,NA,10,1.28,2,54,4
31427,2,16,4,NA,9,0.32,2,45,4
31428,1,14,1,NA,8,0.51,1,57,4
31429,1,40,4,2,NA,2.61,2,51,4
31430,2,19,3,NA,15,0.05,1,54,4
31431,2,20,1,2,NA,NA,2,57,4
31432,2,45,3,5,NA,5,1,46,4
31433,2,4,1,NA,NA,2.75,2,54,4
31434,1,57,3,1,NA,1.18,1,50,4
31435,1,38,4,3,NA,2,2,54,4
31436,2,0,3,NA,NA,5,2,48,4
31437,2,59,5,4,NA,1.39,2,50,4
31438,2,5,3,NA,NA,1.33,2,47,4
31439,2,31,3,5,NA,3.11,1,47,4
31440,1,30,1,4,NA,5,1,58,4
31441,1,62,4,4,NA,4.24,2,51,4
31442,1,67,1,4,NA,1.8,2,55,4
31443,2,19,1,NA,13,1.78,1,53,4
31444,1,38,3,1,NA,4,2,53,4
31445,1,3,1,NA,NA,0.71,1,53,4
31446,2,18,3,NA,13,1.71,2,46,4
31447,1,85,3,3,NA,0.71,2,44,4
31448,2,2,1,NA,NA,1.71,2,49,4
31449,2,37,3,4,NA,5,2,52,4
31450,1,1,3,NA,NA,2.58,1,47,4
31451,2,17,1,NA,9,0.52,2,54,4
31452,2,54,4,5,NA,3.2,1,55,4
31453,2,15,5,NA,9,3.63,2,53,4
31454,1,75,2,1,NA,0.43,2,49,4
31455,1,33,4,4,NA,3.75,2,53,4
31456,2,11,3,NA,5,5,2,52,4
31457,2,61,1,3,NA,4.7,1,57,4
31458,1,13,1,NA,7,3.76,1,55,4
31459,1,3,3,NA,NA,4.5,2,50,4
31460,1,37,4,4,NA,1.24,2,51,4
31461,1,0,4,NA,NA,1.07,2,51,4
31462,1,4,4,NA,NA,0.83,1,56,4
31463,1,48,4,3,NA,3.98,2,50,4
31464,1,64,3,5,NA,5,1,44,4
31465,1,7,3,NA,1,4.16,2,54,4
31466,1,19,4,NA,15,0.62,1,49,4
31467,1,0,5,NA,NA,2.4,2,54,4
31468,1,55,3,2,NA,1.45,1,48,4
31469,2,74,3,5,NA,5,2,52,4
31470,2,26,1,3,NA,0.68,1,57,4
31471,2,49,4,2,NA,3.27,1,52,4
31472,1,76,3,4,NA,1.43,1,46,4
31473,2,5,4,NA,NA,NA,1,44,4
31474,2,6,3,NA,0,3.12,1,54,4
31475,1,1,3,NA,NA,1.59,1,55,4
31476,1,5,1,NA,NA,2.57,2,56,4
31477,1,35,1,1,NA,1.56,1,50,4
31478,2,9,1,NA,3,1.39,1,55,4
31479,1,0,1,NA,NA,1,2,57,4
31480,2,17,1,NA,11,1.08,2,56,4
31481,2,18,3,NA,15,2.15,2,46,4
31482,1,16,1,NA,10,3.92,2,56,4
31483,1,50,3,4,NA,5,2,47,4
31484,1,7,4,NA,1,0.56,2,56,4
31485,2,15,3,NA,9,4.22,2,46,4
31486,1,50,3,2,NA,3.9,1,54,4
31487,2,37,4,4,NA,1.57,1,56,4
31488,1,38,3,4,NA,1.5,2,46,4
31489,2,7,1,NA,1,3.87,1,56,4
31490,1,0,3,NA,NA,0.86,2,50,4
31491,2,46,4,4,NA,5,2,50,4
31492,2,19,2,NA,12,NA,2,56,4
31493,2,2,1,NA,NA,0.51,2,51,4
31494,2,15,3,NA,9,5,1,46,4
31495,1,8,5,NA,2,2.05,1,47,4
31496,2,51,1,4,NA,NA,2,58,4
31497,2,50,3,3,NA,1.88,1,47,4
31498,2,63,1,1,NA,1.33,2,57,4
31499,2,12,1,NA,6,2.24,2,55,4
31500,1,0,1,NA,NA,1.86,1,56,4
31501,1,34,3,4,NA,0.9,2,44,4
31502,2,38,3,3,NA,1.92,2,46,4
31503,1,47,3,4,NA,1.49,1,46,4
31504,1,46,3,5,NA,5,2,56,4
31505,1,15,5,NA,9,3.62,1,46,4
31506,1,73,3,1,NA,1.29,2,44,4
31507,1,14,1,NA,8,1.58,2,53,4
31508,1,73,3,2,NA,1.47,1,48,4
31509,1,35,3,4,NA,0.94,1,46,4
31510,1,32,1,2,NA,1.23,2,55,4
31511,2,12,1,NA,6,3.62,1,57,4
31512,1,51,1,1,NA,0.57,1,50,4
